1.80326,1.04657,-1.01745
1.80526,1.04196,-1.01768
1.80726,1.03741,-1.01787
1.80926,1.03293,-1.01802
1.81126,1.02852,-1.01812
1.81326,1.02416,-1.01818
1.81526,1.01986,-1.01821
1.81726,1.01562,-1.0182
1.81926,1.01143,-1.01816
1.82126,1.0073,-1.01808
1.82326,1.00322,-1.01797
1.82526,0.999183,-1.01782
1.82726,0.995199,-1.01765
1.82926,0.991262,-1.01745
1.83126,0.987371,-1.01721
1.83326,0.983525,-1.01695
1.83526,0.979723,-1.01666
1.83726,0.975963,-1.01635
1.83926,0.972245,-1.01601
1.84126,0.968567,-1.01564
1.84326,0.964928,-1.01526
1.84526,0.961328,-1.01484
1.84726,0.957766,-1.01441
1.84926,0.95424,-1.01395
1.85126,0.95075,-1.01347
1.85326,0.947296,-1.01297
1.85526,0.943875,-1.01245
1.85726,0.940488,-1.01191
1.85926,0.937134,-1.01135
1.86126,0.933811,-1.01077
1.86326,0.93052,-1.01017
1.86526,0.92726,-1.00956
1.86726,0.92403,-1.00892
1.86926,0.920829,-1.00827
1.87126,0.917658,-1.00761
1.87326,0.914514,-1.00692
1.87526,0.911399,-1.00622
1.87726,0.90831,-1.00551
1.87926,0.905248,-1.00478
1.88126,0.902213,-1.00403
1.88326,0.899203,-1.00327
1.88526,0.896218,-1.0025
1.88726,0.893258,-1.00171
1.88926,0.890322,-1.00091
1.89126,0.887411,-1.00009
1.89326,0.884522,-0.999262
1.89526,0.881657,-0.998421
1.89726,0.878814,-0.997567
1.89926,0.875994,-0.996701
1.90126,0.873196,-0.995822
1.90326,0.870419,-0.994932
1.90526,0.867663,-0.994031
1.90726,0.864928,-0.993118
1.90926,0.862213,-0.992193
1.91126,0.859519,-0.991258
1.91326,0.856844,-0.990312
1.91526,0.854189,-0.989356
1.91726,0.851553,-0.988389
1.91926,0.848936,-0.987412
1.92126,0.846338,-0.986426
1.92326,0.843758,-0.985429
1.92526,0.841196,-0.984423
1.92726,0.838651,-0.983408
1.92926,0.836125,-0.982383
1.93126,0.833615,-0.981349
1.93326,0.831123,-0.980306
1.93526,0.828647,-0.979255
1.93726,0.826188,-0.978195
1.93926,0.823746,-0.977126
1.94126,0.821319,-0.976049
1.94326,0.818908,-0.974964
1.94526,0.816513,-0.973871
1.94726,0.814133,-0.97277
1.94926,0.811769,-0.971661
1.95126,0.809419,-0.970545
1.95326,0.807084,-0.969421
1.95526,0.804764,-0.968289
1.95726,0.802459,-0.96715
1.95926,0.800167,-0.966005
1.96126,0.79789,-0.964852
1.96326,0.795627,-0.963692
1.96526,0.793377,-0.962525
1.96726,0.791141,-0.961351
1.96926,0.788918,-0.960171
1.97126,0.786708,-0.958984
1.97326,0.784512,-0.957791
1.97526,0.782328,-0.956592
1.97726,0.780157,-0.955386
1.97926,0.777999,-0.954174
1.98126,0.775853,-0.952956
1.98326,0.77372,-0.951732
1.98526,0.771598,-0.950502
1.98726,0.769489,-0.949267
1.98926,0.767391,-0.948025
1.99126,0.765305,-0.946778
1.99326,0.763231,-0.945525
1.99526,0.761168,-0.944267
1.99726,0.759117,-0.943004
1.99926,0.757077,-0.941735
2.00126,0.755048,-0.940461
2.00326,0.75303,-0.939181
2.00526,0.751022,-0.937897
2.00726,0.749026,-0.936607
2.00926,0.74704,-0.935313
2.01126,0.745065,-0.934013
2.01326,0.7431,-0.932709
2.01526,0.741145,-0.9314
2.01726,0.7392,-0.930086
2.01926,0.737266,-0.928767
